it,avg,best
0,752.602,780
1,751.998,780
2,751.41,780
3,751.27,780
4,752.642,780
5,752.842,780
6,752.868,780
7,753.54,780
8,753.826,780
9,753.862,780
10,754.19,780
11,753.396,780
12,754.392,780
13,754.668,780
14,753.946,780
15,754.426,780
16,753.61,780
17,753.57,780
18,753.388,780
19,753.744,780
20,754.082,780
21,754.176,780
22,754.436,780
23,754.74,780
24,754.612,780
25,754.686,780
26,753.892,780
27,753.71,780
28,753.678,780
29,754.432,780
30,754.718,780
31,754.882,780
32,754.662,780
33,754.462,780
34,754.642,780
35,754.918,780
36,754.204,780
37,753.644,780
38,753.638,780
39,753.806,780
40,753.394,780
41,753.658,780
42,754.046,780
43,753.524,780
44,753.252,780
45,753.84,780
46,753.632,780
47,754.206,780
48,753.484,780
49,754.192,780
50,754.862,780
51,755.206,780
52,756.344,780
53,756.24,780
54,755.63,780
55,754.502,780
56,753.408,780
57,753.458,780
58,753.258,780
59,752.828,780
60,752.492,780
61,752.858,780
62,752.282,780
63,753.018,780
64,752.286,780
65,752.186,780
66,752.204,780
67,752.314,780
68,751.872,780
69,751.698,780
70,752.62,780
71,753.034,780
72,753.032,780
73,752.982,780
74,752.18,780
75,752.406,780
76,752.542,780
77,752.202,780
78,751.62,780
79,751.75,780
80,752.864,780
81,753.668,780
82,754.262,780
83,754.508,780
84,754.39,780
85,755.53,780
86,756.12,780
87,755.41,780
88,754.062,780
89,754.518,780
90,755.582,780
91,755.944,780
92,757.196,780
93,756.542,780
94,756.742,780
95,756.47,780
96,756.116,780
97,756.574,780
98,756.956,780
99,756.886,780
100,756.206,780
101,756.646,780
102,757.304,780
103,756.912,780
104,757.03,780
105,757.3,780
106,757.712,780
107,756.648,780
108,756.722,780
109,757.218,780
110,758.35,780
111,757.824,780
112,757.204,780
113,757.406,780
114,757.238,780
115,756.886,780
116,756.624,780
117,757.586,780
118,758.054,780
119,757.366,780
120,757.356,780
121,756.788,780
122,756.964,780
123,756.42,780
124,756.452,780
125,756.56,780
126,756.018,780
127,755.462,780
128,755.61,780
129,756.53,780
130,756.382,780
131,756.486,780
132,757.506,780
133,758.394,780
134,757.824,780
135,757.47,780
136,757.428,780
137,756.688,780
138,757.76,780
139,758.008,780
140,756.72,780
141,757.834,780
142,757.716,780
143,757.448,780
144,756.082,780
145,756.132,780
146,756.806,780
147,757.238,780
148,757.746,780
149,757.698,780
150,758.15,780
151,758.426,780
152,758.952,780
153,759.09,780
154,758.664,780
155,759.508,780
156,759.94,780
157,759.614,780
158,759.512,780
159,759.768,780
160,760.1,780
161,760.506,780
162,761.446,782
163,761.878,782
164,761.966,782
165,760.928,782
166,761.004,785
167,760.398,785
168,760.546,785
169,760.888,785
170,760.628,785
171,760.256,786
172,761.43,786
173,760.902,786
174,760.392,786
175,760.604,786
176,760.856,786
177,760.318,786
178,760.33,786
179,759.716,786
180,759.468,786
181,759.828,786
182,760.146,786
183,760.106,786
184,759.474,786
185,759.648,786
186,760.2,786
187,760.226,786
188,760.238,786
189,760.046,786
190,760.166,786
191,760.02,786
192,759.558,786
193,759.664,786
194,759.702,786
195,759.178,786
196,759.248,786
197,759.512,786
198,759.41,786
199,759.992,786
200,759.328,786
201,759.994,786
202,759.702,786
203,760.378,786
204,761.046,786
205,760.794,786
206,760.45,786
207,760.196,786
208,760.062,786
209,760.006,786
210,760.37,786
211,760.106,786
212,760.51,786
213,760.648,786
214,760.236,786
215,760.752,786
216,761.144,786
217,761.572,786
218,761.688,786
219,761.936,786
220,762.756,786
221,762.066,786
222,762.232,786
223,762.226,786
224,761.846,786
225,761.976,786
226,762.448,786
227,761.868,786
228,762.242,786
229,761.864,786
230,762.066,786
231,762.71,786
232,761.68,786
233,761.706,786
234,762.038,786
235,762.114,786
236,761.566,786
237,761.838,786
238,761.846,786
239,761.646,786
240,762.336,786
241,763.028,786
242,763.252,786
243,764.032,786
244,763.774,786
245,764,786
246,763.822,786
247,764.026,786
248,764.544,786
249,764.162,786
250,764.258,786
251,764.254,786
252,764.212,786
253,763.394,786
254,762.95,786
255,761.946,786
256,761.142,786
257,760.818,786
258,760.918,786
259,760.592,786
260,760.646,786
261,761.156,786
262,761.594,786
263,761.542,786
264,761.302,786
265,762.272,786
266,762.676,786
267,762.456,786
268,762.5,786
269,763.494,786
270,762.238,786
271,762.078,786
272,762.692,786
273,762.986,786
274,763.22,786
275,763.288,786
276,762.708,786
277,763.456,786
278,764.05,786
279,764.518,786
280,764.162,786
281,765.356,786
282,765.456,786
283,766.196,786
284,766.454,786
285,765.576,786
286,765.542,786
287,765.444,786
288,765.74,786
289,765.636,786
290,765.698,786
291,765.402,786
292,764.528,786
293,764.518,786
294,764.598,786
295,764.396,786
296,765.322,786
297,764.876,786
298,764.566,786
299,765.726,786
300,765.942,786
301,765.676,786
302,766.252,786
303,765.798,786
304,766.276,786
305,765.032,786
306,764.546,786
307,764.42,786
308,764.518,788
309,764.308,788
310,763.832,788
311,763.672,788
312,763.902,788
313,763.97,788
314,764.312,788
315,764.398,788
316,764.982,788
317,765.246,788
318,765.28,788
319,765.134,788
320,764.362,788
321,763.506,788
322,763.64,788
323,764.454,788
324,764.112,788
325,764.514,788
326,764.96,788
327,765.442,788
328,766.016,788
329,765.788,788
330,765.972,788
331,766.264,788
332,766.482,788
333,765.69,788
334,765.966,788
335,765.67,788
336,766.078,788
337,766.404,788
338,766.134,788
339,765.98,788
340,765.73,788
341,765.26,788
342,765.574,788
343,765.492,788
344,765.602,788
345,765.94,788
346,764.736,788
347,766.348,788
348,766.342,788
349,766.036,788
350,765.25,788
351,764.978,788
352,764.716,788
353,765.116,788
354,763.71,788
355,764.586,788
356,764.642,788
357,764.668,788
358,764.324,788
359,764.968,788
360,764.25,788
361,764.338,788
362,763.58,788
363,763.714,788
364,762.822,788
365,762.704,788
366,762.546,788
367,762.472,788
368,762.528,788
369,762.596,788
370,762.186,788
371,762.908,788
372,763.308,788
373,763.42,788
374,763.626,788
375,763.338,788
376,763.308,788
377,763.59,788
378,763,788
379,762.062,788
380,762.528,788
381,762.76,788
382,762.918,788
383,763.31,788
384,764.17,788
385,763.632,788
386,763.602,788
387,764.242,788
388,764.94,788
389,765.006,788
390,765.228,788
391,765.424,788
392,765.014,788
393,764.746,788
394,764.658,788
395,764.49,788
396,764.408,788
397,764.232,788
398,763.946,788
399,763.494,788
400,763.952,788
401,764.338,788
402,764.128,788
403,763.978,788
404,764.1,788
405,763.628,788
406,763.79,788
407,763.526,788
408,764.492,788
409,764.174,788
410,764.69,788
411,764.36,788
412,764.074,788
413,763.892,788
414,764.068,788
415,763.382,788
416,763.172,788
417,762.998,788
418,763.05,788
419,762.992,788
420,762.562,788
421,761.952,788
422,761.478,788
423,761.072,788
424,761.288,788
425,761.694,788
426,761.808,788
427,761.784,788
428,761.15,788
429,760.372,788
430,761.008,788
431,760.954,788
432,761.396,788
433,760.744,788
434,761.206,788
435,761.316,788
436,761.35,788
437,760.78,788
438,760.248,788
439,760.538,788
440,760.538,788
441,760.446,788
442,759.766,788
443,759.586,788
444,759.712,788
445,759.918,788
446,759.81,788
447,759.662,788
448,759.924,788
449,759.486,788
450,759.126,788
451,759.652,788
452,760.046,788
453,759.9,788
454,760.344,788
455,760.526,788
456,760.132,788
457,759.504,788
458,759.878,788
459,760.5,788
460,760.442,788
461,760.182,788
462,760.326,788
463,760.55,788
464,760.836,788
465,761.12,788
466,761.204,788
467,760.942,788
468,760.838,788
469,761.076,788
470,761.31,788
471,761.056,788
472,760.206,788
473,760.484,788
474,760.908,788
475,761.162,788
476,761.496,788
477,761.772,788
478,761.474,788
479,761.278,788
480,761.754,788
481,762.628,788
482,762.24,788
483,761.192,788
484,761.308,788
485,761.888,788
486,762.3,788
487,762.82,788
488,762.466,788
489,762.35,788
490,762.93,788
491,763.094,788
492,763.216,788
493,763.196,788
494,762.968,788
495,763.148,788
496,763.534,788
497,762.824,788
498,763.32,788
499,763.078,788
500,763.234,788
501,763.472,788
502,763.866,788
503,763.98,788
504,763.882,788
505,764.33,788
506,765.064,788
507,764.602,788
508,764.02,788
509,764.076,788
510,764.136,788
511,765.052,788
512,765.254,788
513,765.696,788
514,765.038,788
515,765.124,788
516,765.046,788
517,764.786,788
518,765.164,788
519,765.884,788
520,765.33,788
521,764.572,788
522,764.484,788
523,764.6,788
524,764.918,788
525,764.402,788
526,764.352,788
527,764.706,788
528,764.366,788
529,764.362,788
530,764.53,788
531,764.5,788
532,764.716,788
533,764.53,788
534,764.168,788
535,764.026,788
536,763.506,788
537,763.228,788
538,763.48,788
539,763.662,788
540,763.754,788
541,762.794,788
542,762.44,788
543,761.914,788
544,763.082,788
545,763.212,788
546,763.226,788
547,764.332,788
548,764.206,788
549,764.654,788
550,764.416,788
551,764.826,788
552,765.01,788
553,765.104,788
554,765.576,788
555,765.724,788
556,765.802,788
557,765.932,788
558,766.196,788
559,765.212,788
560,765.594,788
561,765.972,788
562,766.292,788
563,766.6,788
564,767.218,788
565,766.798,788
566,767.068,788
567,767.11,788
568,767.844,788
569,767.542,788
570,767.908,789
571,767.588,789
572,767.52,789
573,768.148,789
574,768.094,789
575,768.016,789
576,768.176,789
577,768.404,789
578,767.966,789
579,767.788,789
580,767.858,789
581,767.882,789
582,768.31,789
583,768.478,789
584,768.65,789
585,768.084,789
586,768.096,789
587,767.692,789
588,767.286,789
589,768.274,789
590,768.676,789
591,768.702,789
592,768.474,789
593,768.85,789
594,767.98,789
595,768.782,789
596,769.062,789
597,768.882,789
598,768.422,789
599,768.734,789
600,768.068,789
601,768.362,789
602,768.768,789
603,769.93,789
604,770.19,789
605,770.138,789
606,770.15,789
607,769.324,789
608,768.536,789
609,767.816,789
610,766.892,789
611,766.556,789
612,766.69,792
613,766.89,792
614,766.77,792
615,766.996,792
616,766.512,792
617,765.596,792
618,765.568,792
619,765.258,792
620,765.726,792
621,766.09,792
622,766.106,792
623,766.032,792
624,765.966,792
625,766.104,792
626,765.574,792
627,765.516,792
628,765.584,792
629,765.308,792
630,764.978,792
631,764.832,792
632,764.518,792
633,764.908,792
634,765.258,792
635,765.852,792
636,766.372,792
637,765.808,792
638,765.558,792
639,765.298,792
640,765.416,792
641,765.336,792
642,764.976,792
643,764.802,792
644,764.36,792
645,764.218,792
646,764.47,792
647,764.324,792
648,765.064,792
649,765.282,792
650,765.194,792
651,765.158,792
652,765.338,792
653,765.146,792
654,765.486,792
655,765.416,792
656,765.152,792
657,765.298,792
658,764.624,792
659,764.972,792
660,765.374,792
661,765.696,792
662,765.886,792
663,766.474,792
664,766.32,792
665,766.258,792
666,767.244,792
667,767.436,792
668,767.78,792
669,766.952,792
670,767.548,792
671,767.902,792
672,768.1,792
673,768.582,792
674,768.146,792
675,768.328,792
676,768.682,792
677,767.902,792
678,767.388,792
679,767.46,792
680,766.88,792
681,766.83,792
682,766.672,792
683,766.632,792
684,766.96,792
685,766.56,792
686,766.438,792
687,767.034,792
688,767.196,792
689,767.788,792
690,768.214,792
691,768.13,792
692,767.622,792
693,768.518,792
694,768.404,792
695,767.998,792
696,768.206,792
697,768.144,792
698,768.804,792
699,768.968,792
700,768.288,792
701,768.188,792
702,768.678,792
703,768.402,792
704,768.688,792
705,768.3,792
706,767.856,792
707,767.6,792
708,767.926,792
709,767.918,792
710,767.78,792
711,767.614,792
712,767.944,792
713,767.662,792
714,767.272,792
715,767.198,792
716,767.326,792
717,766.936,792
718,767.116,792
719,766.858,792
720,767.018,792
721,766.67,792
722,767.282,792
723,767.25,792
724,767.13,792
725,767.486,792
726,768.152,792
727,768.178,792
728,768.496,792
729,768.314,792
730,768.378,792
731,767.76,792
732,768.386,792
733,768.982,792
734,769.616,792
735,770.142,792
736,769.832,792
737,769.416,792
738,769.338,792
739,769.252,792
740,768.942,792
741,768.434,792
742,768.098,792
743,767.21,792
744,766.986,792
745,767.196,792
746,767.164,792
747,767.408,792
748,767.438,792
749,766.496,792